,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
847,UnboxRobotics Labs,2015,Bengaluru,Technology sector,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000.0,Validation,2020-01-01
848,Karbon Card,2015,Bengaluru,Finance sector,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Validation,2020-01-01
849,Airmeet,2015,Bengaluru,Media & Entertainment,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,3000000.0,Early Traction,2020-01-01
850,Innerchef,2015,Gurgaon,Food & Beverage,Cloud kitchen platform,Rajesh,Mistletoe,1000000.0,Early Traction,2020-01-01
851,Epigamia,2015,Mumbai,Media & Entertainment,Flavoured and greek yoghurt brand,Rohan Mirchandani,KA Enterprise,3000000.0,Scaling,2020-01-01
852,StyleNook,2015,Mumbai,Retail & E-commerce,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",3000000.0,Early Traction,2020-01-01
853,Callido Learning,2015,Mumbai,Education & Training,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,3000000.0,Early Traction,2020-01-01
854,Soxytoes,2015,Delhi,Retail & E-commerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,3000000.0,Early Traction,2020-01-01
855,F5,2018,Delhi,Retail & E-commerce,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,3000000.0,Validation,2020-01-01
856,Paper Boat,2013,Bengaluru,Food & Beverage,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,Early Traction,2020-01-01
857,Strata,2019,Bengaluru,Technology sector,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Validation,2020-01-01
858,Salesken,2015,Bengaluru,Technology sector,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Early Traction,2020-01-01
859,Arya,2015,Uttar Pradesh,Agriculture & Environment,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000.0,Scaling,2020-01-01
860,Leap Finance,2015,Bengaluru,Finance sector,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,5500000.0,Early Traction,2020-01-01
861,Sleepy Owl,2016,Delhi,Food & Beverage,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,3000000.0,Early Traction,2020-01-01
862,Tricog,2015,Bengaluru,Health care,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Scaling,2020-01-01
863,GogoBus,2015,Delhi,Consumer Services,Inter-City Mobility Startup,Amit Gupta,Ixigo,3000000.0,Early Traction,2020-01-01
864,Trell,2016,Bengaluru,Retail & E-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Early Traction,2020-01-01
865,Spaciya Consultants,2015,Uttar Pradesh,Real Estate & Construction,Real estate consultancy firms,Ajit Panda,Alok Garg,500000.0,Early Traction,2020-01-01
866,Bounce,2014,Bengaluru,Logistics & Transportation,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,6500000.0,Early Traction,2020-01-01
867,Neeman,2017,Bengaluru,Retail & E-commerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,1000000.0,Early Traction,2020-01-01
868,Chqbook,2017,Gurgaon,Finance sector,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000.0,Early Traction,2020-01-01
