,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
1421,Junio,2020,Delhi,Education & Training,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,"Kunal Shah, Deepak Abbot",1000000.0,Early Traction,2021-01-01
1422,VenWiz,2020,Bengaluru,Consumer Services,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",300000.0,Validation,2021-01-01
1423,Vista Rooms,2015,Mumbai,Health care,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",1000000.0,Early Traction,2021-01-01
1424,Makers Hive,2018,Hyderabad,Technology sector,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav Vempati,"Starfish Growth Partners, Investpad",9000000.0,Early Traction,2021-01-01
1425,Headfone,2017,Bengaluru,Social audio,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,3000000.0,Validation,2021-01-01
1426,Zouk,2016,Mumbai,Retail & E-commerce,100% Vegan bags from India.,Disha Singh,Titan Capital,3500000.0,Validation,2021-01-01
1427,MPL,2018,Bengaluru,Media & Entertainment,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Early Traction,2021-01-01
1428,GrowFix,2020,Bengaluru,Finance sector,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital",2000000.0,Validation,2021-01-01
1429,Bombay Shaving Company,2016,Delhi,Retail & E-commerce,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",6000000.0,Early Traction,2021-01-01
1430,Dunzo,2015,Bengaluru,Logistics & Transportation,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",40000000.0,Scaling,2021-01-01
1431,BeyondSkool,2020,Mumbai,Education & Training,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,2000000.0,Validation,2021-01-01
1432,Mindler,2015,Delhi,Education & Training,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, DLabs",1000000.0,Early Traction,2021-01-01
1433,Fashinza,2020,Gurgaon,Industrial & Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",2600000.0,Validation,2021-01-01
1434,BharatPe,2018,Delhi,Finance sector,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",6000000.0,Exit Options,2021-01-01
1435,Turnip,2020,Bengaluru,Media & Entertainment,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,1600000.0,Validation,2021-01-01
1436,Furlenco,2012,Bengaluru,Real Estate & Construction,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,Ajith Karimpana,BlackSoil Capital,2000000.0,Early Traction,2021-01-01
1437,Inficold,2015,Delhi,Energy & utility,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,900000.0,Early Traction,2021-01-01
1438,KIWI,2020,Delhi,Technology sector,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",250000.0,Validation,2021-01-01
1439,Digit Insurance,2016,Bengaluru,Finance sector,Digit Insurance is a financial services company that general insurance services.,Kamesh Goyal,"A91 Partners, Faering Capital",3500000.0,Early Traction,2021-01-01
1440,BharatPe,2018,Delhi,Finance sector,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",10000000.0,Exit Options,2021-01-01
1441,MFine,2017,Bengaluru,Health care,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli","Blockchain Capital, SBI Ven Capital",16000000.0,Early Traction,2021-01-01
1442,Udayy,2019,Gurgaon,Education & Training,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,2500000.0,Validation,2021-01-01
1443,Lohum,2017,Uttar Pradesh,Logistics & Transportation,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,Rajat Verma,"Baring Private Equity Partners India, Talbros",7000000.0,Early Traction,2021-01-01
1444,Darwinbox,2015,Hyderabad,Consumer Services,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3one4 Capital",15000000.0,Early Traction,2021-01-01
1445,DeHaat,2012,Patna,Agriculture & Environment,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",30000000.0,Scaling,2021-01-01
1446,Samunnati,2014,Tamil Nadu,Agriculture & Environment,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,"U.S. International Development Finance Corp, responsAbility",10000000.0,Exit Options,2021-01-01
1447,Biconomy,2019,Delhi,Technology sector,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",1500000.0,Validation,2021-01-01
1448,True Elements,2011,Pune,Food & Beverage,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,1000000.0,Early Traction,2021-01-01
1449,Siply,2020,Bengaluru,Finance sector,Siply Services operates as a micro-savings platform.,Sousthav Chakrabarty,Inflection Point Ventures,1000000.0,Validation,2021-01-01
1450,Nao Spirits & Beverages Pvt Ltd,2016,Delhi,Food & Beverage,India's first Craft Gin company,Anand Virmani,Inflection Point Ventures,2000000.0,Early Traction,2021-01-01
1451,PurpleTutor,2019,Mumbai,Education & Training,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,300000.0,Validation,2021-01-01
1452,Karkhana.io,2018,Mumbai,Industrial & Manufacturing,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,1500000.0,Validation,2021-01-01
1453,SSA Finserv,2019,Mumbai,Finance sector,Small businesses-focused non-banking lender,Vikas Agarwal,Blue Ashva Capital,3000000.0,Early Traction,2021-01-01
1454,CoinSwitch Kuber,2017,Bengaluru,Technology sector,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",15000000.0,Early Traction,2021-01-01
1455,Paperfly,2016,Bengaluru,Retail & E-commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,11000000.0,Early Traction,2021-01-01
1456,Infra.Market,2016,Maharashtra,Retail & E-commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,6000000.0,Exit Options,2021-01-01
1457,ReadyAssist,2018,Bengaluru,Logistics & Transportation,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh SV,Satish Grampurohit,1000000.0,Validation,2021-01-01
1458,Chalo,2014,Mumbai,Technology sector,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000.0,Early Traction,2021-01-01
1459,Udaan,2016,Bengaluru,Retail & E-commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",280000000.0,Early Traction,2021-01-01
1460,Unacademy,2015,Bengaluru,Education & Training,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,Early Traction,2021-01-01
1461,Ergos,2012,Bihar,Agriculture & Environment,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",3000000.0,Early Traction,2021-01-01
1462,Bolkar,2018,Bengaluru,Communication & Networking,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai","GSF, Pras Hanuma",3500000.0,Early Traction,2021-01-01
1463,Wright Research,2019,Mumbai,Consumer Services,Quantitative Investment Management and Research,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",3500000.0,Ideation,2021-01-01
1464,Knocksense,2016,Uttar Pradesh,Media & Entertainment,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000.0,Early Traction,2021-01-01
1465,Pariksha,2015,Pune,Education & Training,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",1800000.0,Early Traction,2021-01-01
1466,Toothsi,2018,Mumbai,Health care,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000.0,Early Traction,2021-01-01
1467,Jumbotail,2015,Bengaluru,Food & Beverage,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",14300000.0,Scaling,2021-01-01
1468,Phi Commerce,2015,Pune,Finance sector,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",4000000.0,Early Traction,2021-01-01
1469,Zupee,2018,Gurgaon,Media & Entertainment,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000.0,Early Traction,2021-01-01
1470,Oneiric Gaming,2020,Chandigarh,Media & Entertainment,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Avneet Singh,Trishneet Arora,3500000.0,Early Traction,2021-01-01
1471,Finsall,2019,Bengaluru,Finance sector,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000.0,Validation,2021-01-01
1472,Legalwiz.in,2015,Ahmedabad,Consumer Services,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,500000.0,Early Traction,2021-01-01
1473,Practically,2018,Hyderabad,Education & Training,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,4000000.0,Scaling,2021-01-01
1474,Cred,2018,Bengaluru,Finance sector,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"DST Global, General Catalyst",81000000.0,Scaling,2021-01-01
1475,Devic Earth,2018,Bengaluru,Agriculture & Environment,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,1000000.0,Early Traction,2021-01-01
1476,Zerone,2018,Gurgaon,Finance sector,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,1300000.0,Early Traction,2021-01-01
1477,boAt,2016,Mumbai,Retail & E-commerce,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",100000000.0,Scaling,2021-01-01
1478,Pocket Aces,2013,Mumbai,Media & Entertainment,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",2000000.0,Early Traction,2021-01-01
1479,Kyt,2020,Bengaluru,Education & Training,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000.0,Early Traction,2021-01-01
1480,iMumz,2019,Bengaluru,Health care,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",300000.0,Early Traction,2021-01-01
1481,BharatPe,2018,Delhi,Finance sector,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Exit Options,2021-01-01
1482,CropIn,2010,Bengaluru,Agriculture & Environment,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000.0,Scaling,2021-01-01
1483,Vanity Wagon,2018,Haryana,Retail & E-commerce,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners",200000.0,Validation,2021-01-01
1484,Oyo,2012,Gurgaon,Health care,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,7000000.0,Scaling,2021-01-01
1485,Agri10x,2018,Pune,Agriculture & Environment,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,3500000.0,Validation,2021-01-01
1486,BlackSoil,2016,Mumbai,Finance sector,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Awign Enterprises,4000000.0,Early Traction,2021-01-01
1487,HobSpace,2019,Mumbai,Education & Training,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",100000.0,Early Traction,2021-01-01
1488,DcodeAI,2020,Delhi,Education & Training,EMPOWER LEARNERS TO BE FUTURE READY USING AI,"Kartik Sharma, Ashish Aggarwal",S Chand,500000.0,Early Traction,2021-01-01
1489,Biocon Biologics,1978,Bengaluru,Health care,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000.0,Early Traction,2021-01-01
1490,KiranaKart,2020,Mumbai,Retail & E-commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000.0,Ideation,2021-01-01
1491,Meddo,2018,Gurgaon,Health care,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000.0,Early Traction,2021-01-01
1492,SP Robotic Works,2012,Tamil Nadu,Education & Training,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,Early Traction,2021-01-01
1493,3SC,2018,Gurgaon,Logistics & Transportation,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000.0,Scaling,2021-01-01
1494,Chai Waale,2018,Tamil Nadu,Food & Beverage,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Early Traction,2021-01-01
1495,Minimalist,2020,Jaipur,Retail & E-commerce,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000.0,Early Traction,2021-01-01
1496,Biconomy,2019,Delhi,Technology sector,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000.0,Early Traction,2021-01-01
1497,Fixcraft,2018,Gurgaon,Logistics & Transportation,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",Inflection Point Ventures,1000000.0,Early Traction,2021-01-01
1498,Slice,2016,Bengaluru,Finance sector,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000.0,Early Traction,2021-01-01
1499,90+ My Tuition App,2015,Bengaluru,Education & Training,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000.0,Early Traction,2021-01-01
1500,Wasabi,2021,Bengaluru,Consumer Services,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",1800000.0,Validation,2021-01-01
1501,Strata,2019,Bengaluru,Real Estate & Construction,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000.0,Early Traction,2021-01-01
1502,Ourbetterplanet,2020,Bengaluru,Retail & E-commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000.0,Validation,2021-01-01
1503,Murf.ai,2020,Bengaluru,Technology sector,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000.0,Validation,2021-01-01
1504,JetSynthesys,2014,Pune,Media & Entertainment,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Rajan navani,Sachin Tendulkar,2000000.0,Early Traction,2021-01-01
1505,MYFITNESS,2019,Silvassa,Health care,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000.0,Validation,2021-01-01
1506,I am Love,2020,Mumbai,Health care,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,Validation,2021-01-01
1507,MyGlamm,2015,Mumbai,Retail & E-commerce,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000.0,Early Traction,2021-01-01
1508,Gumlet,2019,Bengaluru,Technology sector,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,Early Traction,2021-01-01
1509,Eloelo,2015,Bengaluru,Media & Entertainment,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000.0,Early Traction,2021-01-01
1510,Edukemy,2020,Uttar Pradesh,Education & Training,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",2000000.0,Early Traction,2021-01-01
1511,Zingbus,2019,Gurgaon,Logistics & Transportation,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000.0,Early Traction,2021-01-01
1512,NewsReach,2018,Ahmedabad,Media & Entertainment,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000.0,Validation,2021-01-01
1513,Pencilton,2017,Hyderabad,Finance sector,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000.0,Ideation,2021-01-01
1514,Bandhoo,2020,Gurgaon,Technology sector,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,Early Traction,2021-01-01
1515,ixigo,2007,Gurgaon,Technology sector,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000.0,Early Traction,2021-01-01
1516,The Whole Truth,2019,Mumbai,Food & Beverage,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000.0,Early Traction,2021-01-01
1517,Insane AI,2021,Bengaluru,Health care,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000.0,Validation,2021-01-01
1518,Learn4o Technology,2020,Jaipur,Education & Training,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",Kamal Kant Gupta,IAN,3500000.0,Validation,2021-01-01
1519,Droom,2014,Gurgaon,Industrial & Manufacturing,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Sandeep Aggarwal,Inflection Point Ventures,200000000.0,Early Traction,2021-01-01
1520,Skymet,2003,Uttar Pradesh,Agriculture & Environment,Provide services that allow clients to understand and organize themselves around changing environment.,Yogesh Patil,"Northern Arc, Caspian Impact Investments",1000000.0,Early Traction,2021-01-01
1521,Go Swift,2019,Bengaluru,Retail & E-commerce,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2000000.0,Early Traction,2021-01-01
1522,Mamaearth,2016,Gurgaon,Health care,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000.0,Early Traction,2021-01-01
1523,G.O.A.T,2021,Bengaluru,Retail & E-commerce,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",36000000.0,Early Traction,2021-01-01
1524,Keeros,2017,Uttar Pradesh,Food & Beverage,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.","Sachin Sahni, Simran Sahni",Venture Catalysts,3500000.0,Early Traction,2021-01-01
1525,ReDesyn,2016,Mumbai,Retail & E-commerce,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,300000.0,Early Traction,2021-01-01
1526,Inspacco,2019,Pune,Consumer Services,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services","Sanket Nerkar, Paresh Kotkar",Inflection Point Ventures,200000.0,Early Traction,2021-01-01
1527,Knorish,2016,Gurgaon,Education & Training,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000.0,Early Traction,2021-01-01
1528,Dozee,2015,Bengaluru,Health care,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,5000000.0,Early Traction,2021-01-01
1529,BlackBuck,2015,Bengaluru,Logistics & Transportation,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000.0,Scaling,2021-01-01
1530,Mailmodo,2020,Bengaluru,Media & Entertainment,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",2000000.0,Validation,2021-01-01
1531,SuperBeings,2019,Bengaluru,Technology sector,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.","Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,3500000.0,Validation,2021-01-01
1532,NirogStreet,2018,Delhi,Health care,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000.0,Early Traction,2021-01-01
1533,Hyreo,2016,Kerala,Human Resources,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,3500000.0,Early Traction,2021-01-01
1534,GODI Energy,2020,Hyderabad,Logistics & Transportation,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Mahesh Godi,Blue Ashva Capital,3500000.0,Early Traction,2021-01-01
1535,Even,2020,Bengaluru,Health care,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000.0,Validation,2021-01-01
1536,Captain Fresh,2019,Bengaluru,Logistics & Transportation,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India",12000000.0,Early Traction,2021-01-01
1537,Otipy,2020,Gurgaon,Food & Beverage,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000.0,Early Traction,2021-01-01
1538,Lenskart,2008,Faridabad,Retail & E-commerce,India's fastest growing eyewear company and largest eyewear company online.,Peyush Bansal,"Temasek, Falcon Edge",220000000.0,Early Traction,2021-01-01
1539,Eka.care,2020,Bengaluru,Health care,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Early Traction,2021-01-01
1540,Braingroom,2015,Tamil Nadu,Education & Training,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000.0,Early Traction,2021-01-01
1541,Edvizo,2017,Bengaluru,Retail & E-commerce,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,1000000.0,Early Traction,2021-01-01
1542,Credenc,2017,Delhi,Finance sector,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000.0,Early Traction,2021-01-01
1543,GlobalBees,2021,Delhi,Retail & E-commerce,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",150000000.0,Early Traction,2021-01-01
1544,Spinny,2015,Gurgaon,Logistics & Transportation,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000.0,Scaling,2021-01-01
